id,bookid,title,authors,average_rating,language_code,num_pages,author_name,author_gender,author_average_rating,birthplace,genre_1,genre_2,pages,publish_date,score
1263,3758,Casino Royale (James Bond  #1),Ian Fleming,3.74,eng,181,Ian Fleming ,male,3.74,United Kingdom,Fiction,Thriller,144,April 13th 1953,351
1269,3764,From Russia With Love (James Bond  #5),Ian Fleming,3.89,eng,259,Ian Fleming ,male,3.74,United Kingdom,Fiction,Thriller,259,April 8th 1957,4431
2039,6107,The Middle Sea: A History of the Mediterranean,John Julius Norwich,3.85,eng,588,John Julius Norwich ,male,4.03,United Kingdom,History,Nonfiction,588,2006,253
3566,11026,Barnaby Rudge,Charles Dickens-John Bowen-Hablot Knight Browne,3.81,eng,744,Charles Dickens ,male,3.88,United Kingdom,Classics,Fiction,744,1841,4812
4977,14905,The Complete Novels,Jane Austen,4.55,eng,1344,Jane Austen ,female,4.11,United Kingdom,Romance,Classics,1344,January 28th 1813,19609
5337,15997,Paradise Lost,John Milton-John      Leonard,3.81,eng,453,John Milton ,male,3.84,United Kingdom,Classics,Poetry,453,1667,1519
6471,19400,The Decline and Fall of the Roman Empire,Edward Gibbon-Daniel J. Boorstin-Giovanni Battista Piranesi-Hans-Friedrich Mueller,3.97,eng,1312,Edward Gibbon ,male,4.03,United Kingdom,History,Nonfiction,1312,1776,3113
7181,22463,The Origin of Species,Charles Darwin,3.99,eng,703,Charles Darwin ,male,3.99,United Kingdom,Science,Nonfiction,703,November 24th 1859,1088
9204,29797,The Pilgrim's Progress,John Bunyan,3.99,eng,324,John Bunyan ,male,4,United Kingdom,Classics,Fiction,324,1678,3391
9907,32071,Sons and Lovers,D.H. Lawrence-Geoff Dyer,3.62,eng,654,D.H. Lawrence ,male,3.59,United Kingdom,Classics,Fiction,654,1913,414
12586,43369,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.97,eng,307,Christopher Hitchens ,male,4.13,United Kingdom,Nonfiction,Religion,307,by,2072
1743,5176,While I Was Gone,Sue Miller,3.68,eng,304,Sue Miller ,female,3.6,United States,Fiction,Womens Fiction,304,January 1st 1999,4029
10151,32829,Journey to the Center of the Earth (Extraordinary Voyages  #3),Jules Verne,3.85,eng,240,Jules Verne ,male,3.88,France,Classics,Science Fiction,240,November 25th 1864,1950
10321,33507,Twenty Thousand Leagues Under the Sea (Extraordinary Voyages  #6),Jules Verne-Anthony Bonner,3.88,eng,394,Jules Verne ,male,3.88,France,Classics,Science Fiction,394,March 20th 1869,6591
8582,27523,Left Behind (Left Behind  #1),Tim LaHaye-Jerry B. Jenkins,3.83,eng,342,Tim LaHaye ,male,3.95,United States,Fiction,Christian,342,November 12th 1995,7621
1622,4894,Who Moved My Cheese?,Spencer Johnson-Kenneth H. Blanchard,3.78,eng,96,Spencer Johnson ,male,3.8,United States,Nonfiction,Business,96,September 8th 1998,404
256,662,Atlas Shrugged,Ayn Rand-Leonard Peikoff,3.68,eng,1168,Ayn Rand ,female,3.75,Russia,Fiction,Classics,1168,1957,3381
1922,5693,Selected Stories of Anton Chekhov,Anton Chekhov-Richard Pevear-Larissa Volokhonsky,4.35,eng,467,Anton Chekhov ,male,3.97,Russia,Short Stories,Fiction,454,1900,1508
2358,7144,Crime and Punishment,Fyodor Dostoyevsky-David McDuff,4.20,eng,671,Fyodor Dostoyevsky ,male,4.18,Russia,Classics,Fiction,671,1866,6963
5742,17125,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn-H.T. Willetts,3.95,eng,182,Aleksandr Solzhenitsyn ,male,4.04,Russia,Fiction,Classics,182,November 1962,3668
5976,17876,Notes from Underground  White Nights  The Dream of a Ridiculous Man  and Selections from The House of the Dead,Fyodor Dostoyevsky-Andrew R. MacAndrew-Ben Marcus,4.17,eng,233,Fyodor Dostoyevsky ,male,4.18,Russia,Classics,Fiction,233,1864,8121
11472,38619,Magic Bites (Kate Daniels  #1),Ilona Andrews,4.07,eng,260,Ilona Andrews ,male,4.29,Russia,Fantasy,Fantasy,260,640,
12199,41804,I  Robot (Robot  #0.1),Isaac Asimov,4.19,eng,224,Isaac Asimov ,male,4.15,Russia,Science Fiction,Fiction,224,1950,369
12210,41822,The Stars  Like Dust (Galactic Empire  #1),Isaac Asimov,3.73,eng,304,Isaac Asimov ,male,4.15,Russia,Science Fiction,Fiction,304,January 1st 1951,1945
13,21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.20,eng,544,Bill Bryson ,male,4.02,United States,Nonfiction,Science,544,May 6th 2003,4864
3045,9530,Shadow Divers,Robert Kurson,4.29,eng,335,Robert Kurson ,male,4.21,United States,Nonfiction,History,335,by,4889
5125,15384,Garden State,Rick Moody,3.07,eng,212,Rick Moody ,male,3.61,United States,Fiction,Novels,212,1992,196
8515,27297,The Analects,Confucius-D.C. Lau,3.84,eng,249,Confucius ,male,3.84,China,Philosophy,Classics,249,-429,1442
9530,30680,Up in the Air,Walter Kirn,2.86,eng,320,Walter Kirn ,male,3.18,United States,Fiction,Travel,320,July 1st 2001,99
10199,32987,The Greatest Generation,Tom Brokaw,4.00,eng,464,Tom Brokaw ,male,4,United States,History,Nonfiction,464,December 1st 1998,2677
10829,35519,The Power of Myth,Joseph Campbell-Bill Moyers,4.30,eng,320,Joseph Campbell ,male,4.3,United States,Nonfiction,Fantasy,320,1988,9712
1,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,eng,652,J.K. Rowling ,female,4.45,United Kingdom,Fantasy,Young Adult,652,July 16th 2005,672
13353,46292,The Divan,Hafez,4.63,eng,566,Hafez ,male,4.49,Iran,Poetry,Classics,672,1398,4318
2,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,eng,870,J.K. Rowling ,female,4.45,United Kingdom,Fantasy,Young Adult,870,June 21st 2003,1412
5,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,eng,435,J.K. Rowling ,female,4.45,United Kingdom,Fantasy,Young Adult,435,July 8th 1999,542
9,13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,eng,815,Douglas Adams ,male,4.2,United Kingdom,Science Fiction,Fiction,815,January 17th 1996,29784
20,28,Notes from a Small Island,Bill Bryson,3.92,eng,324,Bill Bryson ,male,4.02,United States,Travel,Nonfiction,324,1995,443
21,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,eng,270,Bill Bryson ,male,4.02,United States,Nonfiction,Humanities,270,1990,1220
32,50,Hatchet,Gary Paulsen,3.70,eng,208,Gary Paulsen ,male,3.77,United States,Young Adult,Fiction,208,November 1st 1986,1910
37,58,Changeling (Changeling  #1),Delia Sherman,3.60,eng,256,Delia Sherman ,female,3.92,Japan,Fantasy,Young Adult,256,2006,1151
42,67,The Known World,Edward P. Jones,3.83,eng,388,Edward P. Jones ,male,3.86,United States,Historical,Fiction,432,2003,1026
53,79,Coming Into the Country,John McPhee,4.22,eng,448,John McPhee ,male,4.15,United States,Nonfiction,Travel,448,1977,545
63,93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,eng,352,Johanna Spyri ,female,3.98,Switzerland,Classics,Childrens,352,1880,549
77,122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,Bryce Courtenay ,male,4.19,South Africa,Fiction,Historical,544,1989,3099
102,162,Untouchable,Mulk Raj Anand-E.M. Forster,3.70,eng,160,Mulk Raj Anand ,male,3.7,British Indian Ocean Territory,Fiction,Cultural,160,1935,462
116,208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.60,eng,331,Daniel Abraham ,male,4.13,United States,Fantasy,Fiction,331,2006,1723
119,216,Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,eng,191,Charles Willeford ,male,3.97,United States,Mystery,Mystery,191,1984,1157
125,249,Tropic of Cancer,Henry Miller-Jiří Níl,3.69,eng,318,Henry Miller ,male,3.8,United States,Fiction,Classics,318,1934,1717
130,264,The Portrait of a Lady,Henry James-Patricia Crick,3.77,eng,797,Henry James ,male,3.63,United States,Classics,Fiction,635,1881,2975
132,275,The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,eng,117,Marguerite Duras ,female,3.73,Viet Nam,Fiction,Cultural,117,1984,462
151,320,One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,eng,417,Gabriel García Márquez ,male,3.96,Colombia,Fiction,Classics,422,June 5th 1967,1663
159,343,Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,eng,263,Patrick Süskind ,male,3.99,Germany,Fiction,Historical,263,1985,3182
163,350,Stranger in a Strange Land,Robert A. Heinlein,3.92,eng,528,Robert A. Heinlein ,male,3.93,United States,Science Fiction,Fiction,528,July 1st 1961,2402
174,378,The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,en-US,256,Norton Juster ,male,4.2,United States,Fantasy,Fiction,256,1961,2246
176,385,On Bullshit,Harry G. Frankfurt,3.57,eng,67,Harry G. Frankfurt ,male,3.57,United States,Philosophy,Nonfiction,67,1986,536
177,386,Another Bullshit Night in Suck City,Nick Flynn,3.78,eng,347,Nick Flynn ,male,3.85,United States,Autobiography,Nonfiction,347,2004,9065
194,415,Gravity's Rainbow,Thomas Pynchon,4.02,eng,776,Thomas Pynchon ,male,3.85,United States,Fiction,Classics,776,February 28th 1973,4509
204,431,The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.90,eng,308,Paul Auster ,male,3.82,United States,Fiction,Mystery,308,1987,730
211,449,Timbuktu,Paul Auster,3.68,eng,181,Paul Auster ,male,3.82,United States,Fiction,Animals,181,May 1999,1417
219,475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,eng,608,Jared Diamond ,male,3.99,United States,Nonfiction,History,608,December 29th 2004,13997
224,484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,eng,576,Joy Harjo ,female,4.18,United States,Poetry,Fiction,576,1997,621
243,597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,eng,245,Chuck Klosterman ,male,3.76,United States,Nonfiction,Music,245,2005,1031
244,599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,eng,272,Chuck Klosterman ,male,3.76,United States,Nonfiction,Writing,272,July 20th 2003,1422
247,629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,eng,540,Robert M. Pirsig ,male,3.77,United States,Philosophy,Fiction,540,1974,2524
268,685,The Natural,Bernard Malamud-Kevin Baker,3.63,eng,231,Bernard Malamud ,male,3.85,United States,Fiction,Sports and Games,231,1952,1153
272,703,The Plot Against America,Philip Roth,3.75,eng,391,Philip Roth ,male,3.81,United States,Fiction,Historical,391,October 5th 2004,4762
273,706,America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms,4.02,eng,228,Jon Stewart ,male,3.97,United States,Humor,Nonfiction,228,by,1010
289,815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.87,eng,287,H.G. Bissinger ,male,4.08,United States,Sports and Games,Sports,287,April 1st 2005,1626
294,823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,eng,927,Neal Stephenson ,male,4.06,United States,Fiction,Historical,927,September 23rd 2003,2379
298,827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson,4.19,eng,499,Neal Stephenson ,male,4.06,United States,Science Fiction,Fiction,499,February 1995,4810
305,840,The Design of Everyday Things,Donald A. Norman,4.19,eng,240,Donald A. Norman ,male,4.12,"",Design,Nonfiction,240,1988,2188
253,656,War and Peace,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,eng,1392,Leo Tolstoy ,male,4.04,Russia,Classics,Fiction,1392,1867,165568
310,865,The Alchemist,Paulo Coelho-Alan R. Clarke-Özdemir İnce,3.85,eng,197,Paulo Coelho ,male,3.75,Brazil,Fiction,Classics,197,1988,470
314,870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa-Akira Watanabe,4.49,eng,192,Hiromu Arakawa ,female,4.55,Japan,Sequential Art,Sequential Art,192,January 1st 2002,1126
319,880,Pompeii,Robert   Harris,3.81,eng,304,Robert   Harris ,male,3.92,United Kingdom,Historical,Fiction,304,November 21st 2003,2308
321,890,Of Mice and Men,John Steinbeck,3.86,eng,112,John Steinbeck ,male,3.92,United States,Classics,Fiction,112,1937,1052
323,900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,en-US,464,Neil Strauss ,male,3.93,United States,Nonfiction,Psychology,464,2005,5726
324,902,The Westing Game,Ellen Raskin,4.02,eng,182,Ellen Raskin ,female,4.02,United States,Mystery,Young Adult,182,1978,2669
326,929,Memoirs of a Geisha,Arthur Golden,4.10,eng,503,Arthur Golden ,male,4.1,United States,Fiction,Historical,434,September 1997,1922
337,960,Angels & Demons (Robert Langdon  #1),Dan Brown,3.88,eng,736,Dan Brown ,male,3.81,United States,Fiction,Mystery,736,May 2000,4284
340,968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.82,eng,489,Dan Brown ,male,3.81,United States,Fiction,Mystery,481,March 18th 2003,2336
344,976,Deception Point,Dan Brown,3.70,eng,556,Dan Brown ,male,3.81,United States,Fiction,Thriller,556,2001,472
357,1052,The Richest Man in Babylon,George S. Clason,4.25,eng,194,George S. Clason ,male,4.25,United States,Business,Economics,194,1926,3538
359,1059,Shibumi,Trevanian-Gisela Stege,4.22,eng,480,Trevanian ,male,4.06,United States,Fiction,Thriller,480,1979,3334
360,1067,1776,David McCullough,4.07,eng,386,David McCullough ,male,4.08,United States,History,Nonfiction,386,May 24th 2005,5963
364,1078,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,eng,418,Pearl S. Buck ,female,3.98,United States,Classics,Fiction,418,1931,553
368,1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,eng,399,Eric Schlosser ,male,3.76,United States,Nonfiction,Food and Drink,399,January 17th 2001,2116
384,1191,Giada's Family Dinners,Giada De Laurentiis-Victoria Pearson,3.96,eng,256,Giada De Laurentiis ,female,3.99,Italy,Food and Drink,Food and Drink,256,2006,1065
390,1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt-Stephen J. Dubner,3.96,eng,320,Steven D. Levitt ,male,3.95,United States,Nonfiction,Economics,336,April 12th 2005,1664
399,1232,The Shadow of the Wind (The Cemetery of Forgotten Books  #1),Carlos Ruiz Zafón-Lucia Graves,4.26,eng,487,Carlos Ruiz Zafón ,male,4.12,Spain,Fiction,Historical,487,2001,641
402,1241,A Million Little Pieces,James Frey,3.63,eng,432,James Frey ,male,3.68,United States,Nonfiction,Biography,432,2003,2370
410,1274,Men Are from Mars  Women Are from Venus,John Gray,3.54,eng,368,John Gray ,male,3.58,United States,Nonfiction,Self Help,368,1992,1876
420,1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,eng,317,Michael   Lewis ,male,4.15,United States,Nonfiction,Sports and Games,317,2003,1226
422,1303,The 48 Laws of Power,Robert Greene-Joost Elffers,4.19,eng,452,Robert Greene ,male,4.2,United States,Nonfiction,Business,452,1988,5487
446,1362,The Histories,Herodotus-Aubrey de Sélincourt-John M. Marincola,3.98,eng,716,Herodotus ,male,3.98,Greece,History,Classics,716,-440,1352
454,1371,The Iliad,Homer-Robert Fagles-Bernard Knox,3.85,eng,683,Homer ,male,3.79,Greece,Classics,Poetry,683,-720,3400
461,1381,The Odyssey,Homer-Robert Fagles-Bernard Knox,3.75,eng,541,Homer ,male,3.79,Greece,Classics,Fiction,541,-720,2874
471,1414,The Riverside Shakespeare,William Shakespeare-G. Blakemore Evans,4.55,eng,2057,William Shakespeare ,male,3.86,United Kingdom,Classics,Plays,2057,January 1st 1974,2678
483,1430,Eleven Minutes,Paulo Coelho-Margaret Jull Costa,3.69,eng,273,Paulo Coelho ,male,3.75,Brazil,Fiction,Romance,288,2003,279
524,1519,The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus-Robert Fagles-William Bedell Stanford,4.01,eng,335,Aeschylus ,male,3.96,Greece,Classics,Plays,335,-458,1923
545,1554,Oedipus Rex  (The Theban Plays  #1),Sophocles-J.E. Thomas,3.69,eng,75,Sophocles ,male,3.76,Greece,Classics,Plays,75,-450,8089
566,1591,Lysistrata,Aristophanes-Sarah Ruden,3.85,eng,132,Aristophanes ,male,3.89,Greece,Plays,Classics,54,-411,1111
569,1617,Night (The Night Trilogy  #1),Elie Wiesel-Marion Wiesel-François Mauriac,4.32,eng,115,Elie Wiesel ,male,4.3,Romania,Nonfiction,Classics,120,1958,1626
570,1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.87,eng,226,Mark Haddon ,male,3.84,United Kingdom,Fiction,Mystery,226,July 31st 2003,14141
573,1624,West with the Night,Beryl Markham,4.19,eng,294,Beryl Markham ,female,4.18,United Kingdom,Nonfiction,Autobiography,294,1942,1696
575,1627,Brokeback Mountain,Annie Proulx,3.94,eng,55,Annie Proulx ,female,3.88,United States,Fiction,Short Stories,55,October 13th 1997,2230
577,1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,3.99,en-GB,267,David    Allen ,male,3.97,"",Nonfiction,Business,267,2001,454
601,1715,Metamorphoses,Ovid-David Raeburn-Denis Feeney,4.05,eng,723,Ovid ,male,4.04,Italy,Classics,Poetry,723,8,675
630,1842,Guns  Germs  and Steel: The Fates of Human Societies,Jared Diamond,4.02,eng,425,Jared Diamond ,male,3.99,United States,History,Nonfiction,425,1997,801
632,1845,Into the Wild,Jon Krakauer,3.97,eng,207,Jon Krakauer ,male,4.02,United States,Nonfiction,Biography,207,1996,1694
637,1852,The Call of the Wild,Jack London,3.85,eng,172,Jack London ,male,3.94,United States,Classics,Fiction,172,1903,369
641,1875,The History of Sexuality  Volume 1: An Introduction,Michel Foucault-Robert Hurley,4.04,eng,176,Michel Foucault ,male,4.11,France,Philosophy,Nonfiction,176,1976,3972
654,1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.15,eng,368,Jon Krakauer ,male,4.02,United States,Nonfiction,Adventure,368,1997,8440
657,1911,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3.68,eng,616,Thomas L. Friedman ,male,3.72,United States,Nonfiction,History,616,January 1st 2005,830
661,1934,Little Women,Louisa May Alcott,4.06,eng,449,Louisa May Alcott ,female,4.04,United States,Classics,Fiction,449,September 30th 1868,2095
1763,5211,A Fine Balance,Rohinton Mistry,4.36,eng,603,Rohinton Mistry ,male,4.27,India,Fiction,Cultural,603,1995,1560
685,1991,Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,3.71,eng,176,Jared Diamond ,male,3.99,United States,Science,Nonfiction,176,1997,500
709,2052,The Big Sleep (Philip Marlowe  #1),Raymond Chandler,4.01,eng,231,Raymond Chandler ,male,4.06,United States,Mystery,Fiction,231,February 6th 1939,277
714,2067,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,eng,448,Daniel C. Dennett ,male,3.96,United States,Philosophy,Religion,464,January 1st 2006,550
746,2152,The Jane Austen Book Club,Karen Joy Fowler,3.08,eng,288,Karen Joy Fowler ,male,3.5,United States,Fiction,Womens Fiction,288,January 1st 2004,1135
751,2165,The Old Man and the Sea,Ernest Hemingway,3.76,eng,132,Ernest Hemingway ,male,3.83,United States,Classics,Fiction,132,September 1st 1952,6093
756,2175,Madame Bovary,Gustave Flaubert-Malcolm Bowie-Margaret Mauldon-Tomás de C.  Duran-Mark Overstall-Victor Villarraza,3.66,eng,329,Gustave Flaubert ,male,3.68,France,Classics,Fiction,329,1856,2468
764,2187,Middlesex,Jeffrey Eugenides,3.99,eng,529,Jeffrey Eugenides ,male,3.97,United States,Fiction,Historical,529,September 4th 2002,3796
765,2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,eng,916,Doris Kearns Goodwin ,male,4.24,United States,History,Nonfiction,916,October 25th 2005,10447
767,2203,John Adams,David McCullough,4.06,eng,751,David McCullough ,male,4.08,United States,History,Biography,751,May 1st 2001,2533
781,2255,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.14,en-US,240,Dan Millman ,male,4.15,United States,Spirituality,Fiction,240,1980,715
783,2265,It's Not about the Bike: My Journey Back to Life,Lance Armstrong-Sally Jenkins,3.72,eng,294,Lance Armstrong ,male,3.73,United States,Sports,Biography,294,November 8th 1999,572
786,2281,The Complete Stories of Truman Capote,Truman Capote-Reynolds Price,4.20,eng,320,Truman Capote ,male,4.01,United States,Short Stories,Fiction,320,January 1st 1993,642
794,2300,Emergence,David R. Palmer,4.16,eng,291,David R. Palmer ,male,4.13,United States,Science Fiction,Apocalyptic,291,October 1st 1984,1990
796,2305,The Ghost Stories of Edith Wharton,Edith Wharton-Laszlo Kubinyi,3.89,eng,303,Edith Wharton ,female,3.77,United States,Short Stories,Horror,303,1937,1764
819,2373,The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,eng,528,Jeffery Deaver ,male,4,United States,Mystery,Thriller,528,1997,1407
843,2493,The Time Machine,H.G. Wells-Greg Bear-Carlo Pagetti,3.88,eng,118,H.G. Wells ,male,3.82,United Kingdom,Classics,Science Fiction,118,May 7th 1895,62021
869,2547,The Prophet,Kahlil Gibran-جبران خليل جبران,4.23,eng,127,Kahlil Gibran ,male,4.15,Lebanon,Poetry,Philosophy,112,1923,1031
882,2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.95,eng,301,Malcolm Gladwell ,male,3.98,United Kingdom,Nonfiction,Business,301,2000,4445
884,2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,3.99,eng,286,Clayton M. Christensen ,male,4.03,United States,Business,Nonfiction,286,1997,1753
893,2666,The Bonfire of the Vanities,Tom Wolfe,3.84,eng,690,Tom Wolfe ,male,3.86,United States,Fiction,Classics,690,November 1st 1987,765
914,2715,Salt: A World History,Mark Kurlansky,3.74,eng,484,Mark Kurlansky ,male,3.76,United States,History,Nonfiction,484,January 31st 2002,832
918,2723,The Years of Rice and Salt,Kim Stanley Robinson,3.73,eng,763,Kim Stanley Robinson ,male,3.79,United States,Fiction,Science Fiction,763,June 3rd 2002,5598
932,2767,A People's History of the United States,Howard Zinn,4.08,eng,729,Howard Zinn ,male,4.09,United States,History,Nonfiction,729,1980,1102
940,2802,E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,eng,337,David Bodanis ,male,4.05,United States,Science,Nonfiction,337,2000,1288
976,2880,Bleach  Volume 01,Tite Kubo,4.22,eng,200,Tite Kubo ,male,4.27,Japan,Sequential Art,Fantasy,200,January 5th 2002,956
1009,2956,The Adventures of Huckleberry Finn,Mark Twain-Guy Cardwell-John Seelye,3.81,eng,327,Mark Twain ,male,3.86,United States,Classics,Fiction,327,December 10th 1884,11474
1015,2968,The Complete Short Stories of Mark Twain,Mark Twain-Charles Neider,4.28,eng,848,Mark Twain ,male,3.86,United States,Classics,Short Stories,848,1957,741
1024,2998,The Secret Garden,Frances Hodgson Burnett,4.13,eng,331,Frances Hodgson Burnett ,female,4.13,United Kingdom,Classics,Fiction,368,1911,475
1028,3008,A Little Princess,Frances Hodgson Burnett-Nancy Bond,4.19,eng,242,Frances Hodgson Burnett ,female,4.13,United Kingdom,Classics,Fiction,242,1905,4457
1050,3087,A Room with a View,E.M. Forster,3.90,eng,119,E.M. Forster ,male,3.87,United Kingdom,Classics,Fiction,119,1908,2984
1055,3103,Maurice,E.M. Forster,4.01,eng,256,E.M. Forster ,male,3.87,United Kingdom,Classics,Fiction,256,1971,1097
1059,3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.18,eng,450,Michael Pollan ,male,4.11,United States,Nonfiction,Food and Drink,450,by,2550
1060,3110,Assassination Vacation,Sarah Vowell,3.98,eng,258,Sarah Vowell ,female,3.82,United States,Nonfiction,History,258,2005,820
1090,3273,Moloka'i (Moloka'i #1),Alan Brennert,4.16,eng,405,Alan Brennert ,male,4.11,United States,Historical,Fiction,405,October 21st 2003,1675
1094,3291,The Stories of Eva Luna,Isabel Allende,3.97,en-US,352,Isabel Allende ,female,3.95,Peru,Fiction,Short Stories,352,1988,2001
1113,3345,1968: The Year That Rocked the World,Mark Kurlansky,3.78,eng,480,Mark Kurlansky ,male,3.76,United States,History,Nonfiction,480,2001,1242
2092,6259,Birdsong,Sebastian Faulks,4.08,eng,483,Sebastian Faulks ,male,3.84,United Kingdom,Historical,Fiction,483,1993,5807
734,2122,The Fountainhead,Ayn Rand-Leonard Peikoff,3.86,eng,704,Ayn Rand ,female,3.75,Russia,Fiction,Classics,704,1943,8529
1121,3378,Generation X: Tales for an Accelerated Culture,Douglas Coupland,3.73,eng,211,Douglas Coupland ,male,3.67,Germany,Fiction,Contemporary,192,1991,384
